model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,union,T,22,2.19208816866633,4.70602154919803,0.65080561552631,1.3971633508105,0.11168329140348,0.00904067400576045,0.669080276284421,0.382595809500676
linear-california,test,E,23,1.87108520741749,1.73458233826235,0.586433383760218,0.543650810773008,0.153956496395101,0.176473891288398,0.682186393669064,0.484822991077558
linear-california,test,T,23,1.93817527747527,2.34630443319902,0.607823149138199,0.735814849151146,0.143966408996556,0.0957222573667721,0.706668184926872,0.403067168845709
linear-california,train,E,23,2.15204036746323,3.10190634759963,0.640222000231389,0.922802711517727,0.116246729590733,0.044963404760749,0.660828034506802,0.417379033974347
linear-california,train,T,23,2.18209926136732,3.15169150727913,0.653533483413605,0.943924030342487,0.112804475829333,0.0427797034521533,0.676888225816961,0.421068320914001
linear-california,union,E,23,2.1773097711198,3.15937596273348,0.642679396203682,0.932557168962549,0.11334604765742,0.0424522245864934,0.644736493391849,0.401584991984167
linear-california,union,T,23,2.21306836064383,3.33679118780717,0.6570343917904,0.990654698065737,0.109364563242099,0.0355508508967922,0.663983881696197,0.39317244803293
linear-california,test,E,24,1.93064687072178,2.67444840669986,0.605101132089078,0.838222558019065,0.14505433672519,0.0689448474240961,0.676099358539281,0.519138025434766
linear-california,test,T,24,1.9728612623468,2.70238050512504,0.618700877690717,0.84748239639835,0.139058403873538,0.0670457199414891,0.708516411964353,0.530026165346835
linear-california,train,E,24,2.1894573395127,5.51061833979115,0.651353375390652,1.63938332633212,0.111977497896297,0.00404360628737112,0.654791159253122,0.387489861190664
linear-california,train,T,24,2.19068715915056,5.71062765452228,0.656105538155956,1.71031925522923,0.11183987041622,0.00331059398337375,0.680947290287214,0.391137977022129
linear-california,union,E,24,2.23149379424183,5.54167781645749,0.658672965757196,1.63574434849687,0.107367924696922,0.00391994437058606,0.638460381536884,0.37751318552012
linear-california,union,T,24,2.2320998755293,5.74078227018751,0.662684628371426,1.7043718370256,0.107302870722878,0.00321225444130223,0.667822045856115,0.384044511187792
linear-california,test,E,25,1.94099877700899,2.7101883265242,0.608345614707138,0.849424122776682,0.143560493229041,0.0665242772493294,0.676136068717302,0.314417087296594
linear-california,test,T,25,1.98375784991905,5.64558059671223,0.622118111544639,1.77048722934757,0.137551367486601,0.00353309650130151,0.708349197891736,0.283767570822968
linear-california,train,E,25,2.19462470018524,6.50413308467567,0.652890641157462,1.93494934212165,0.111400362195822,0.00149723817498185,0.655106361893806,0.380324521176429
linear-california,train,T,25,2.19800413521882,7.4726722827673,0.658296954899734,2.23804738575691,0.111024527321522,0.00056840732045598,0.680923504252733,0.395307626311917
linear-california,union,E,25,2.24222504295023,6.97885493158996,0.661840522588984,2.05995781267292,0.106221892967486,0.000931369074145807,0.638576120645565,0.347652496402492
linear-california,union,T,25,2.24342696374226,9.36029968771935,0.666047509811111,2.77896468164561,0.106094299359825,8.60742994401768e-05,0.667662785743945,0.342350513447566
linear-california,test,E,26,1.92157034753242,3.02418858980983,0.602256378581533,0.947837725839874,0.1463769189203,0.0485972375702319,0.676073898049707,0.40684408119473
linear-california,test,T,26,1.94976179131735,5.0055130434528,0.611456747922,1.56975828578674,0.142307966542557,0.00670090261198087,0.709954175736755,0.337941619908783
